 Elem_ID   Stress (MPa/ForceUnit)
    1         -0.00551805
    2         -0.00551805
    3          0.01103609
    4          0.01103609
    5         -0.00551805
    6         -0.00551805
    7         -0.04475473
    8         -0.05594368
    9         -0.05594368
   10         -0.04475473
   11          0.00000000
   12         -0.03643181
   13          0.06072017
   14         -0.03643181
   15          0.00000000
   16         -0.03316082
   17          0.01989554
   18          0.01436683
   19          0.01436683
   20          0.01989554
   21         -0.03316082
