12
21
2
1      0.0      0.0
2   5000.0      0.0
3  10000.0      0.0
4  15000.0      0.0
5  20000.0      0.0
6  25000.0      0.0
7  30000.0      0.0
8   5000.0   3333.3
9  10000.0   4166.7
10 15000.0   5000.0
11 20000.0   4166.7
12 25000.0   3333.3
1   1  2  1
2   2  3  1
3   3  4  1
4   4  5  1
5   5  6  1
6   6  7  1
7   8  9  1
8   9 10  1
9  10 11  1
10 11 12  1
11  2  8  2
12  3  9  2
13  4 10  2
14  5 11  2
15  6 12  2
16  1  8  1
17  3  8  1
18  4  9  1
19  4 11  1
20  5 12  1
21  7 12  1
1  3261.9  205.0  0.0
2   988.1  205.0  0.0
1  1  1  1
7  1  1  1
4  2  0.0  -120.0
