 ElementID,  Stress(MPa),  Force(kN),  Extension(mm)
    1        -0.0055       -17.9993        -0.1346
    2        -0.0055       -17.9993        -0.1346
    3         0.0110        35.9986         0.2692
    4         0.0110        35.9986         0.2692
    5        -0.0055       -17.9993        -0.1346
    6        -0.0055       -17.9993        -0.1346
    7        -0.0448      -145.9854        -1.1066
    8        -0.0559      -182.4827        -1.3833
    9        -0.0559      -182.4827        -1.3833
   10        -0.0448      -145.9854        -1.1066
   11         0.0000         0.0000         0.0000
   12        -0.0364       -35.9983        -0.7405
   13         0.0607        59.9976         1.4810
   14        -0.0364       -35.9983        -0.7405
   15         0.0000         0.0000         0.0000
   16        -0.0332      -108.1673        -0.9721
   17         0.0199        64.8973         0.5832
   18         0.0144        46.8631         0.4561
   19         0.0144        46.8631         0.4561
   20         0.0199        64.8973         0.5832
   21        -0.0332      -108.1673        -0.9721
